"Country","Pertussis","Energy_Consumption_per_Person"
"Albania",0,0.65565127521023
"Algeria",0.58925622148196,1.08761925022252
"Angola",2.67942311619623,0.657618232301606
"Argentina",0.072542408291887,1.93017265469479
"Armenia",0,0.973201146963369
"Australia",0,5.77881731283578
"Austria",0,4.02380085897368
"Azerbaijan",0.21724699776718,1.5154813200356
"Bahrain",0,8.78470750000713
"Bangladesh",0.5047322659213,0.191053023028177
"Belarus",0,2.93119579254322
"Belgium",0.016814070013788,5.46958157597596
"Benin",4.06432697203251,0.392489450668862
"Bolivia",0.99700897308076,0.617864844560453
"Bosnia and Herzegovina",0,1.5775687013071
"Botswana",0,1.10067208165245
"Brazil",0.01159471821936,1.29654122948752
"Brunei",0,9.43350966349966
"Bulgaria",0,2.59611957664531
"Cambodia",0.033213396069748,0.254186246856969
"Cameroon",0.95415647314234,0.340917516055683
"Canada",0,7.94584649320339
"Chile",0.059708859600588,1.80463244137912
"China",0.022113480758377,1.57483130701956
"Colombia",0.019597830737891,0.648981524196158
"Congo, Dem. Rep.",3.76498796804646,0.355988687361025
"Congo, Rep.",0.86369597901539,0.328359146571771
"Costa Rica",0.092793891510684,1.01446090377
"Cote d'Ivoire",1.28416473880339,0.541320704205776
"Croatia",0,2.04319418132612
"Cuba",0,0.932904821687944
"Cyprus",0,2.40126239437104
"Denmark",0,3.4950989520391
"Ecuador",0,0.784493844234154
"Egypt",0.076919832165889,0.917523723273246
"El Salvador",0,0.733985161905421
"Eritrea",0.37353606820329,0.13688552307307
"Estonia",0,4.05787234042553
"Ethiopia",1.14287007490891,0.395909373838486
"Finland",0,6.63882253149067
"France",0.001330250699047,4.11362153930258
"Gabon",2.50347705146036,1.37170880708262
"Georgia",0,0.685393389146155
"Germany",0,4.06895399234518
"Ghana",0.79971976761862,0.385049356572956
"Greece",0,2.7069802922357
"Guatemala",0.68925600116643,0.595795468008332
"Haiti",5.64088672835891,0.284842587537072
"Honduras",0.019846881310688,0.636409173431021
"Hungary",0,2.63577998339939
"Iceland",0,16.8684683095264
"India",3.19873315497486,0.525737714602009
"Indonesia",0.067303075703163,0.795563970713674
"Iran",0.007926979546952,2.81920322057108
"Iraq",2.46276719700019,0.942801998204537
"Ireland",0.014471570599557,3.37930506997451
"Israel",0.035741858004746,3.13097526269702
"Italy",0,2.94163598821965
"Jamaica",0.019083969465649,1.58665972015481
"Japan",0,3.87890711210076
"Jordan",0,1.22152652496976
"Kazakhstan",0,4.47904226611218
"Kenya",0.95067257429121,0.461009577376067
"Kuwait",0,10.9350650675672
"Latvia",0,1.97895850745821
"Lebanon",0.06066396712013,1.30190752631143
"Libya",0,3.97938571814193
"Lithuania",0,2.80839548377587
"Luxembourg",0,8.6097963777755
"Macedonia, FYR",0,1.4668213380209
"Malaysia",0.016344824956005,2.65458089460231
"Malta",0,2.03077315208156
"Mexico",0.002928772258669,1.63692824866747
"Moldova",0,0.798450858755774
"Mongolia",0.020145855997421,1.18311481199067
"Montenegro",0,1.31137423810167
"Morocco",0.31092843850501,0.478550723684498
"Mozambique",1.40216931222968,0.420605250549638
"Myanmar",0.92968337808497,0.318153625007579
"Namibia",1.02143307059805,0.738270658991775
"Nepal",1.04409668553967,0.332069300093083
"Netherlands",0,4.8371668932826
"New Zealand",0.017164140677297,4.07914216777156
"Nicaragua",0.15717653782953,0.540914089187318
"Nigeria",5.36719756904255,0.738125378611314
"Norway",0,6.25002516666625
"Oman",0,6.02556956620172
"Pakistan",1.34534248241171,0.487399250194058
"Panama",0.35641475271944,0.914719768488769
"Paraguay",0.019520320653801,0.697873694151848
"Peru",0,0.528553397356276
"Philippines",0.034439558797943,0.44369547787396
"Poland",0,2.56761348672429
"Portugal",0,2.29987941534565
"Qatar",0,15.3104307837772
"Romania",0,1.83841897937967
"Russia",0.001294197658926,4.85017759070095
"Saudi Arabia",0,5.88824579266753
"Senegal",0.74432610840791,0.261036726264755
"Serbia",0,2.29464324950229
"Singapore",0,4.92368992023805
"Slovak Republic",0,3.38548847284795
"Slovenia",0,3.82902574362445
"South Africa",0.000916298849037,3.02759624111825
"Spain",0.002035511534226,3.05189880014179
"Sri Lanka",0.016416722073104,0.442296285304447
"Sudan",0.91360773973908,0.36427407931
"Sweden",0,5.3799591025113
"Switzerland",0,3.50133367330594
"Syria",0.001694292099347,1.17385156038036
"Tajikistan",0.046672025306609,0.369288802250525
"Tanzania",0.8507524953807,0.448657102366213
"Thailand",0.015355903781954,1.57695718909635
"Togo",0.77085419104963,0.443614905527021
"Trinidad and Tobago",0,14.5308255198942
"Tunisia",0,0.912673953663991
"Turkey",0.023737269961746,1.38884019495309
"Turkmenistan",0.018072234722185,4.4937471484606
"Ukraine",0.006539694857838,2.94314450194776
"United Arab Emirates",0,9.39784694511008
"United Kingdom",0.006729538501709,3.39436448025191
"United States",0.008411186059073,7.48793030309585
"Uruguay",0,1.24567553235522
"Uzbekistan",0.016266275312132,1.84971962479901
"Venezuela",0.01670773986049,2.51181449794165
"Vietnam",0.02945616554365,0.575456290537262
"Zambia",1.04706637073523,0.617251413049133
"Zimbabwe",4.78691858002203,0.744783277060522
